177,54	13,20
177,75	13,20
177,97	13,20
178,19	11,52
178,41	11,72
178,63	13,68
178,85	10,73
179,07	12,98
179,29	15,51
179,51	16,87
179,73	10,66
179,95	12,67
180,17	17,56
180,39	17,04
180,61	12,33
180,83	12,68
181,05	13,23
181,27	11,28
181,49	14,00
181,71	10,90
181,92	17,23
182,14	9,45
182,36	10,65
182,58	11,11
182,80	12,82
183,02	14,47
183,24	10,45
183,46	13,30
183,68	13,29
183,90	10,26
184,12	10,96
184,34	10,07
184,56	14,81
184,78	11,12
185,00	14,72
185,21	11,32
185,43	15,96
185,65	12,41
185,87	10,38
186,09	8,66
186,31	15,52
186,53	10,82
186,75	18,08
186,97	15,27
187,19	14,22
187,41	8,04
187,63	13,57
187,84	10,53
188,06	12,09
188,28	12,70
188,50	13,30
188,72	13,93
188,94	12,67
189,16	10,95
189,38	13,77
189,60	9,03
189,82	10,37
190,03	15,31
190,25	14,72
190,47	14,40
190,69	14,20
190,91	7,23
191,13	16,34
191,35	14,44
191,57	13,83
191,79	16,76
192,01	14,57
192,22	14,01
192,44	13,68
192,66	15,50
192,88	11,45
193,10	8,26
193,32	14,93
193,54	13,35
193,76	11,86
193,98	13,84
194,19	14,07
194,41	15,47
194,63	14,16
194,85	12,89
195,07	12,59
195,29	14,55
195,51	11,67
195,73	14,61
195,94	16,39
196,16	9,66
196,38	12,29
196,60	12,92
196,82	13,40
197,04	11,67
197,26	16,60
197,48	12,57
197,69	10,48
197,91	13,50
198,13	12,74
198,35	12,45
198,57	14,38
198,79	15,36
199,01	11,69
199,22	13,02
199,44	14,28
199,66	12,16
199,88	13,08
200,10	14,29
200,32	14,36
200,54	14,52
200,75	10,20
200,97	16,91
201,19	12,93
201,41	11,23
201,63	13,07
201,85	14,91
202,06	19,05
202,28	11,61
202,50	11,01
202,72	11,93
202,94	15,00
203,16	15,02
203,38	9,05
203,59	11,56
203,81	12,70
204,03	13,97
204,25	11,83
204,47	12,40
204,69	13,24
204,90	10,93
205,12	15,78
205,34	12,16
205,56	10,41
205,78	11,53
206,00	8,68
206,21	19,86
206,43	11,80
206,65	7,41
206,87	11,76
207,09	11,24
207,30	13,50
207,52	12,74
207,74	11,92
207,96	12,82
208,18	17,62
208,40	13,40
208,61	11,49
208,83	14,07
209,05	13,57
209,27	16,88
209,49	13,68
209,70	9,85
209,92	16,26
210,14	12,21
210,36	12,79
210,58	12,83
210,79	11,13
211,01	17,21
211,23	15,54
211,45	17,14
211,67	15,25
211,88	12,69
212,10	13,56
212,32	13,15
212,54	12,69
212,76	13,36
212,97	16,45
213,19	10,92
213,41	11,52
213,63	15,81
213,85	9,61
214,06	14,27
214,28	16,02
214,50	12,44
214,72	20,05
214,94	16,64
215,15	13,03
215,37	16,21
215,59	11,46
215,81	20,11
216,02	17,29
216,24	12,85
216,46	8,96
216,68	10,54
216,90	15,49
217,11	19,49
217,33	11,82
217,55	16,90
217,77	12,96
217,98	14,62
218,20	13,61
